epoch,time_s,throughput_img_s,train_loss,val_loss,val_dice,gpu_util_percent,vram_util_percent,gpu_temp_c,gpu_power_w
1,2.1,37.2,1.5345,1.5748,0.0000,31,89.8,57,76
2,1.0,80.1,1.5188,1.5790,0.0000,95,89.8,62,82
3,1.0,83.7,1.5069,1.5773,0.0000,99,89.8,61,84
4,1.0,82.3,1.4979,1.5700,0.0000,79,89.8,62,85
5,1.0,83.1,1.4885,1.5584,0.0000,79,89.8,62,81
6,1.0,79.8,1.4805,1.5437,0.0000,99,89.8,63,80
7,1.0,79.4,1.4722,1.5270,0.0000,73,89.8,64,84
1,2.3,35.0,1.6178,1.6251,0.0000,65,89.8,57,75
2,3.1,26.0,1.5993,1.6166,0.0000,78,89.8,58,82
3,1.0,77.3,1.5862,1.6119,0.0000,77,89.8,56,89
4,1.0,77.2,1.5717,1.6065,0.0000,99,89.8,62,86
5,1.1,75.5,1.5607,1.5985,0.0000,68,89.8,60,80
6,1.0,76.2,1.5453,1.5894,0.0000,81,89.8,61,80
7,1.0,77.4,1.5323,1.5791,0.0043,97,89.8,63,80
8,1.0,82.1,1.5198,1.5670,0.0337,64,89.8,62,84
9,1.0,79.8,1.5079,1.5531,0.1229,73,89.8,60,84
10,1.0,80.6,1.4988,1.5356,0.2847,99,89.8,57,78
11,1.0,80.8,1.4812,1.5162,0.3770,81,89.8,64,79
12,1.0,80.8,1.4664,1.4971,0.4760,97,89.8,63,79
13,1.0,80.6,1.4506,1.4764,0.5455,71,89.8,64,77
14,1.1,73.1,1.4339,1.4603,0.5465,85,89.8,65,83
15,1.0,76.4,1.4216,1.4466,0.5212,61,89.8,63,84
16,1.0,81.8,1.4132,1.4374,0.5241,81,89.8,64,82
17,1.0,82.4,1.4084,1.4317,0.4715,83,89.8,63,84
18,1.0,81.6,1.4011,1.4168,0.6318,99,89.8,66,81
19,1.0,80.7,1.3930,1.4108,0.5565,79,89.8,65,79
20,1.0,82.7,1.3878,1.4052,0.4914,81,89.8,65,84
21,1.0,76.2,1.3849,1.3947,0.5764,99,89.8,68,81
22,1.0,76.2,1.3785,1.3913,0.6000,61,89.8,66,84
23,1.0,76.7,1.3784,1.3863,0.5530,81,89.8,66,80
24,1.0,79.9,1.3719,1.3814,0.5577,98,89.8,67,79
25,1.0,81.7,1.3691,1.3783,0.5816,65,89.8,64,84
26,1.0,80.4,1.3664,1.3769,0.5836,80,89.8,67,79
27,1.0,82.3,1.3634,1.3734,0.6024,91,89.8,68,84
28,1.0,80.9,1.3603,1.3717,0.5537,55,89.8,67,85
29,1.0,77.1,1.3584,1.3674,0.5819,81,89.8,70,81
30,1.1,76.1,1.3556,1.3636,0.6176,82,89.8,68,85
31,1.0,77.7,1.3522,1.3619,0.5819,99,89.8,68,80
1,2.1,37.2,1.5201,1.6188,0.0000,52,89.8,57,77
2,1.0,79.8,1.4901,1.6265,0.0000,99,89.8,61,89
3,1.0,82.8,1.4741,1.6279,0.0000,73,89.8,61,89
4,1.0,80.0,1.4632,1.6202,0.0000,77,89.8,56,84
